mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0031537532806396483,0.0063075065612792965,0.006361532211303711,0.0077913514537107376,8,2,"{'n_neighbors': 8, 'p': 2}",1.0,0.9130434782608695,1.0,0.8636363636363636,0.9545454545454546,0.9462450592885375,0.05248738028001976,59,0.9662921348314607,0.9775280898876404,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9732084893882647,0.008921443004026188
0.009155988693237305,0.007989677607027066,0.0011751174926757813,0.0015537059191629346,9,1,"{'n_neighbors': 9, 'p': 1}",1.0,0.9565217391304348,1.0,0.8636363636363636,0.9545454545454546,0.9549407114624506,0.04979923448304139,31,0.9662921348314607,0.9775280898876404,0.9666666666666667,0.9777777777777777,0.9555555555555556,0.9687640449438202,0.008282866539311422
0.0024893760681152345,0.004978752136230469,0.0007019996643066406,0.0014039993286132813,9,2,"{'n_neighbors': 9, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9775280898876404,0.9555555555555556,0.9777777777777777,0.9666666666666667,0.9687640449438202,0.008282866539311422
0.00330810546875,0.006354757293938342,0.0032160282135009766,0.0061531914841437265,10,1,"{'n_neighbors': 10, 'p': 1}",1.0,0.9565217391304348,1.0,0.9090909090909091,1.0,0.9731225296442687,0.036174106525367754,1,0.9662921348314607,0.9775280898876404,0.9555555555555556,0.9888888888888889,0.9555555555555556,0.9687640449438202,0.012937206429782683
0.004367685317993164,0.00589913891753705,0.002601003646850586,0.004720746149801484,10,2,"{'n_neighbors': 10, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9775280898876404,0.9777777777777777,0.9888888888888889,0.9666666666666667,0.9754307116104869,0.008382748000643595
0.0,0.0,0.002888393402099609,0.0036971374565203806,11,1,"{'n_neighbors': 11, 'p': 1}",1.0,0.9565217391304348,1.0,0.9545454545454546,0.9545454545454546,0.9731225296442687,0.021957224367321962,1,0.9662921348314607,0.9662921348314607,0.9555555555555556,0.9777777777777777,0.9666666666666667,0.9665168539325842,0.007029678643602581
0.0,0.0,0.011197233200073242,0.006275152478126677,11,2,"{'n_neighbors': 11, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9775280898876404,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.966541822721598,0.006949671194395376
0.0033433914184570314,0.006686782836914063,0.003357076644897461,0.006714153289794923,12,1,"{'n_neighbors': 12, 'p': 1}",1.0,0.9565217391304348,1.0,0.9545454545454546,0.9545454545454546,0.9731225296442687,0.021957224367321962,1,0.9662921348314607,0.9662921348314607,0.9555555555555556,0.9777777777777777,0.9666666666666667,0.9665168539325842,0.007029678643602581
0.003218984603881836,0.006437969207763672,0.002933216094970703,0.005317193679466138,12,2,"{'n_neighbors': 12, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9662921348314607,0.9555555555555556,0.9888888888888889,0.9666666666666667,0.9687390761548065,0.010918700411457306
0.0,0.0,0.006312131881713867,0.007730751179455633,13,1,"{'n_neighbors': 13, 'p': 1}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9662921348314607,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.964294631710362,0.004372747171858133
0.0,0.0,0.002601432800292969,0.005202865600585938,13,2,"{'n_neighbors': 13, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9550561797752809,0.9550561797752809,0.9555555555555556,0.9666666666666667,0.9555555555555556,0.957578027465668,0.00454980393703594
0.003828907012939453,0.006081260492045375,0.0031241893768310545,0.006248378753662109,14,1,"{'n_neighbors': 14, 'p': 1}",1.0,0.9565217391304348,1.0,0.9545454545454546,0.9545454545454546,0.9731225296442687,0.021957224367321962,1,0.9662921348314607,0.9662921348314607,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9665168539325842,0.0001834823777365572
0.0,0.0,0.010826015472412109,0.006359268064981572,14,2,"{'n_neighbors': 14, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9775280898876404,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.966541822721598,0.006949671194395376
0.0,0.0,0.011966800689697266,0.006098042247890525,15,1,"{'n_neighbors': 15, 'p': 1}",1.0,0.9130434782608695,1.0,0.9090909090909091,0.9545454545454546,0.9553359683794467,0.03979355873091929,28,0.9662921348314607,0.9662921348314607,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.964294631710362,0.004372747171858133
0.0,0.0,0.0033842086791992187,0.006768417358398437,15,2,"{'n_neighbors': 15, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9662921348314607,0.9444444444444444,0.9666666666666667,0.9666666666666667,0.9620724094881398,0.008815573873240098
0.0,0.0,0.003125715255737305,0.00625143051147461,16,1,"{'n_neighbors': 16, 'p': 1}",0.9565217391304348,0.8695652173913043,1.0,0.9090909090909091,0.9545454545454546,0.9379446640316207,0.044676272414054696,70,0.9662921348314607,0.9550561797752809,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.9620474406991262,0.005508434031157573
0.0,0.0,0.003193092346191406,0.006386184692382812,16,2,"{'n_neighbors': 16, 'p': 2}",1.0,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9640316205533598,0.03391847897695643,5,0.9662921348314607,0.9662921348314607,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.964294631710362,0.004372747171858133
0.001606130599975586,0.003212261199951172,0.004818964004516602,0.006405778880847219,17,1,"{'n_neighbors': 17, 'p': 1}",0.9565217391304348,0.8695652173913043,1.0,0.9090909090909091,0.9545454545454546,0.9379446640316207,0.044676272414054696,70,0.9550561797752809,0.9550561797752809,0.9444444444444444,0.9555555555555556,0.9555555555555556,0.9531335830212235,0.0043503054531380345
0.00034661293029785155,0.000693225860595703,0.00561976432800293,0.006945222110225137,17,2,"{'n_neighbors': 17, 'p': 2}",1.0,0.9130434782608695,1.0,0.9090909090909091,0.9545454545454546,0.9553359683794467,0.03979355873091929,28,0.9438202247191011,0.9550561797752809,0.9444444444444444,0.9555555555555556,0.9555555555555556,0.9508863920099875,0.005521208473841827
0.0007459163665771484,0.001491832733154297,0.0033617496490478517,0.0067234992980957035,18,1,"{'n_neighbors': 18, 'p': 1}",0.9565217391304348,0.9130434782608695,1.0,0.9545454545454546,0.9545454545454546,0.9557312252964426,0.027515105587283987,26,0.9662921348314607,0.9550561797752809,0.9444444444444444,0.9555555555555556,0.9555555555555556,0.9553807740324596,0.006911259768480695
